volume,log_return,logr_SMA_20,logr_EMA_20,logr_BBL_20_2.0_2.0,logr_BBM_20_2.0_2.0,logr_BBU_20_2.0_2.0,logr_BBB_20_2.0_2.0,logr_BBP_20_2.0_2.0,LogR_Vol_5,logr_SMA_5,LogR_vs_MA_5,ATRr_14,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,STOCHk_14_3_3,STOCHd_14_3_3,STOCHh_14_3_3,daily_change_pct,interday_change,daily_range_pct,down,neutral,up
28336700,0.006663524209044335,0.00206205480132614,0.0035347998282186785,-0.016342741552535338,0.00206205480132614,0.020466851155187614,1785.092844479697,0.6250073437175732,0.003300405866684537,0.004496264020848156,0.002167260188196179,1.2155626044307952,61.03848143510277,1.4672595238278774,0.5103171110467852,0.9569424127810922,99.21162468303739,99.21846097964402,-0.006836296606635983,0.006685774881662261,0.007340651322854884,0.011050258180710778,0,0,1
17868000,0.001013942674829272,0.0020023484574186513,0.0032947181945625448,-0.016408200199037364,0.0020023484574186513,0.02041289711387467,1838.8955816601642,0.4731565364771794,0.0026423146905024497,0.002989434540469722,-0.00197549186564045,1.157712747802425,61.43964835831232,1.5550124527538003,0.47845603197816655,1.0765564207756337,99.33376030379196,99.22267715273031,0.11108315106164923,0.0010144568884828686,0.0015689725089005774,0.004058687970315318,0,1,0
19745000,0.0007369616142391182,0.002096769491567865,0.0030511223297698376,-0.01626498039074396,0.002096769491567865,0.02045851937387969,1751.432377870185,0.46297172420808674,0.0026819484642532027,0.002949876819071593,-0.0022129152048324745,1.1197999112733499,61.7482067667492,1.6119278751492345,0.4282971634988806,1.183630711650354,98.95006483838112,99.16514994173681,-0.21508510335569042,0.0007372332371707081,0.0020299061291606984,0.006266129222499104,0,1,0
19472300,-0.0024891578596943696,0.0032857386972301793,0.0025234765974399133,-0.009607733406859501,0.0032857386972301793,0.01617921080131986,784.8142102692861,0.2760534745682348,0.0036376107937355307,0.0021718393202978,-0.00466099717999217,1.0905222858518224,60.00325633961153,1.618293584923606,0.3477302986186015,1.2705632863050045,96.37962434842812,98.22114983020039,-1.8415254817722655,-0.002486062475102038,-0.0010143914411197001,0.007090279523223579,0,1,0
22255500,0.005064254886087161,0.0037959221363599747,0.002765455482072985,-0.008486901896409941,0.0037959221363599747,0.01607874616912989,647.1589032407439,0.5516303395026805,0.003662731125956642,0.0021979051049011034,0.0028663497811860575,1.0653114709168328,62.33815310542619,1.64528970468362,0.29978113470289225,1.3455085699807277,96.2121991285339,97.18062943844771,-0.9684303099138134,0.005077099899182167,0.004057495408573573,0.0073848711191622915,0,0,1
27757600,-0.004418367720689667,0.003096719247560472,0.002081281843714637,-0.009393517208572497,0.003096719247560472,0.01558695570369344,806.6754172805626,0.19916154131093036,0.0036377892866103303,-1.847328104569711e-05,-0.00439989443964397,1.033998726474854,59.09572580992322,1.6123875840518025,0.21350321125685978,1.3988843727949427,94.070208284154,95.55401058703868,-1.4838023028846692,-0.00440862109404273,-0.004042583855348223,0.0062454098888993686,0,1,0
22988600,0.008999872543136283,0.003935896291539328,0.0027401952436595556,-0.0077025929809989265,0.003935896291539328,0.015574385564077583,591.4022327039743,0.7175529887519734,0.0054873424146256655,0.0015787126926157054,0.007421159850520578,1.0273124093991157,63.29345990206042,1.640309737374352,0.19314029166352742,1.4471694457108246,96.65528440142948,95.64589727137246,1.0093871300570214,0.009040493164723015,0.0070895556462505765,0.007656842914291496,0,0,1
20788900,-0.004673244465707559,0.0032689003303071067,0.0020341533665769736,-0.008750802109504732,0.0032689003303071067,0.015288602770118944,735.3973033911751,0.1696197415957414,0.006184012948067426,0.0004966714766263696,-0.0051699159423339285,1.0329560808607223,59.85134459446767,1.6059867155153427,0.1270538158436143,1.4789328996717284,93.37375482874259,94.69974917144202,-1.3259943426994312,-0.004662341848932589,-0.0016506217344199364,0.008959623603032272,0,1,0
21007400,-0.003865568080823141,0.0025974386783672795,0.0014722751334912483,-0.009442033987247186,0.0025974386783672795,0.014636911343981745,927.0265177680608,0.23159095341238664,0.00637775667219753,0.00022138943240061548,-0.0040869575132237565,1.0256882020803506,57.097079865297104,1.5299016543000334,0.040775003702643975,1.4891266505973895,88.34281313242694,92.79061745419966,-4.447804321772722,-0.003858106390183484,-0.0005529922293518473,0.007440041720074755,0,1,0
15381000,0.0017503355961421502,0.002728685369256122,0.0014987570823151437,-0.00920821288195086,0.002728685369256122,0.014665583620463104,874.9193575557704,0.4590199332973686,0.005903199112263111,-0.00044139442558838686,0.002191730021730537,1.0037910106758783,58.03772104101805,1.4668292129376255,-0.01783795012781142,1.484667163065437,80.72612441122136,87.48089745746363,-6.7547730462422635,0.00175186832762616,-0.000827774896591261,0.007192242625586426,0,1,0
